title,author,category,price,publicationYear,description,imageUrl
Mát Mát Lạnh Lạnh,Ngọc Bảo An,Truyện ngắn - Tản văn - Tạp Văn,43500,2000,,https://salt.tikicdn.com/media/catalog/product/m/a/mat mat lanh lanh.u547.d20160719.t104506.jpg
Bí Mật Của Naoko,Higashino Keigo,Tiểu Thuyết,64800,2000,,https://salt.tikicdn.com/media/catalog/product/u/n/unnamed--1-.u3059.d20170515.t104135.72047.jpg
Người Giỏi Không Phải Là Người Làm Tất Cả (Tái Bản),Donna M. Genett,Sách kỹ năng làm việc,38200,2000,,https://salt.tikicdn.com/media/catalog/producttmp/89/93/21/e82aabcdb76f43e2b80e00c6ac2e5717.jpg
Chiến Tranh Tiền Tệ - Tập 5,Song Hong Bing,"Sách quản trị, lãnh đạo",137000,2000,,https://salt.tikicdn.com/ts/product/27/fb/94/9c38c917a164600a498184d3d73c47f5.jpg
Monster #8 - Tập 6,Naoya Matsumoto,Monster #8 - Tập 6,49200,2000,,https://salt.tikicdn.com/ts/product/78/98/79/dbe0ea056cb4595fd6c56e1f3defa593.jpg
Thiên Môn Chi Thánh,Phương Bạch Vũ,Tiểu Thuyết,75000,2000,,https://salt.tikicdn.com/ts/product/5f/1b/40/567ded87612632ad92087ed52f42d587.jpg
Sức Mạnh Của Ngôn Từ (Tái Bản 2022),Don Gabor,Sách nghệ thuật sống đẹp,71200,2000,,https://salt.tikicdn.com/media/catalog/producttmp/f0/db/1c/98d137d24edbf7b6d5fedd365a4f4aa9.jpg
Blue Flag Tập 8 [Tặng Kèm Bookmark PVC],Kaito,Blue Flag Tập 8 [Tặng Kèm Bookmark PVC],45000,2000,,https://salt.tikicdn.com/ts/product/c5/0d/50/5dec744aead450eb1f72c2f2a7944eb0.jpg
Homo Deus: Lược Sử Tương Lai,Yuval Noah Harari,Lịch Sử Thế Giới,113400,2000,,https://salt.tikicdn.com/ts/product/f6/c4/c1/37cc7da534a3a25e39e4b5e32bf5f6ba.jpg
Lược Sử Tôn Giáo,Richard Holloway,Lược Sử Tôn Giáo,77400,2000,,https://salt.tikicdn.com/ts/product/5c/69/27/5a19171b7de6d9b6b2c4ecbf9c005f19.jpg
Mát Mát Lạnh Lạnh,Ngọc Bảo An,Truyện ngắn - Tản văn - Tạp Văn,43500,2000,,https://salt.tikicdn.com/media/catalog/product/m/a/mat mat lanh lanh.u547.d20160719.t104506.jpg
Giết Con Chim Nhại (Tái Bản),Harper Lee,Truyện dài,72000,2000,,https://salt.tikicdn.com/ts/product/f9/43/fe/c0f35edda6a18c65d638e731063b0cc1.jpg
Án Mạng Mười Một Chữ,Higashino Keigo,Truyện trinh thám,66000,2000,,https://salt.tikicdn.com/ts/product/32/2e/b7/fcd82c276d5e2a662ccadc1fb7e26cb4.jpg
